Code,Name,Fullname,Sector
SUI,SUNINT,SUN INTERNATIONAL LTD,5752
SPG,SUPRGRP,SUPER GROUP LTD,2791
TKG,TELKOM,TELKOM SA LIMITED,6535
TFG,TFG,THE FOSCHINI GROUP LTD,5371
TBS,TIGBRANDS,TIGER BRANDS LTD,3577
TON,TONGAAT,TONGAAT HULETT LTD,3577
TDH,TRADEH,TRADEHOLD LTD,8633
TCP,TRANSCAP,TRANSACTION CAPITAL LTD,8775
TRE,TRENCOR,TRENCOR LIMITED,2777
TRU,TRUWTHS,TRUWORTHS INTERNATIONAL LIMITED,5371
TSH,TSOGO-SUN,TSOGO SUN HOLDINGS LIMITED,5752
VOD,VODACOM,VODACOM GROUP LIMITED,6575
VKE,VUKILE,VUKILE PROPERTY FUND LIMITED,8633
WBO,WBHO,WILSON BAYLY HOLMES-OVCON LIMITED,2357
WHL,WOOLIES,WOOLWORTHS HOLDINGS LIMITED,5373
ZED,ZEDER,ZEDER INVESTMENTS LTD,8775
